,Unnamed: 0,ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,Sign
1012,113086,A-2829686,4,12/9/2016 19:27,12/10/2016 1:27,47.70895,-121.98445,47.70902,-121.9842,0.013,WA,32,23,96,29.82,5,11.5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1013,113176,A-2829776,2,12/12/2016 6:43,12/12/2016 12:43,47.951183,-122.092605,47.951457,-122.094253,0.079,WA,39,32.8,89,30.08,10,9.2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
1014,113194,A-2829794,2,12/12/2016 8:37,12/12/2016 14:37,47.99028,-122.868378,47.990309,-122.867025,0.063,WA,39,33,86,30.09,2,9,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
1015,113209,A-2829809,3,12/12/2016 10:35,12/12/2016 16:35,47.700532,-122.34465,47.699034,-122.34462,0.104,WA,42.1,38.4,85,30.17,10,5.8,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
1020,114394,A-2830994,2,12/17/2016 11:51,12/17/2016 17:51,48.20884,-122.66698,48.20884,-122.66698,0,WA,33,25,64,30.44,10,9,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
1021,114395,A-2830995,2,12/17/2016 11:51,12/17/2016 17:51,48.20884,-122.66698,48.20884,-122.66698,0,WA,33,25,64,30.44,10,9,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
1022,114476,A-2831076,2,12/19/2016 5:52,12/19/2016 11:52,47.469156,-121.917747,47.466005,-121.923462,0.344,WA,37.9,31.5,93,30.1,3,9.2,0.05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1023,114506,A-2831106,3,12/19/2016 7:54,12/19/2016 13:54,47.60291,-122.3346,47.60329,-122.33495,0.031,WA,41,34.7,93,30.09,5,10.4,0.02,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
1024,114507,A-2831107,2,12/19/2016 7:50,12/19/2016 13:50,48.32603,-122.62868,48.32536,-122.62865,0.046,WA,39.9,30,79,30.07,10,21.9,0.01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
1025,114524,A-2831124,4,12/19/2016 8:51,12/19/2016 14:51,47.372853,-120.165822,47.375303,-120.180349,0.7,WA,16,10.4,88,30.2,7,3.5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
1026,114525,A-2831125,4,12/19/2016 8:51,12/19/2016 14:51,47.375303,-120.180349,47.372853,-120.165822,0.7,WA,16,10.4,88,30.2,7,3.5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
